"","time","gender","age","degree","country","light","shaq","fossil","kilo","mm","food","inseam","weather","electronCharge","earlyHuman","laser","continents","antibiotics","electronSize","earthCenter","religiousView","dailyLife","SciOnLife","SciEffect"
"96","3/28/2013 7:44:15","Male","23-30","High School or equivalent","United States","TRUE","Yes","Still about 6 million years old.","100 x",1.45,"Dis-agree","This person is short","A Short sleeve shirt","Neutron","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","No","FALSE","TRUE","Not sure"
"97","3/28/2013 7:45:17","Female","More than 60 years old","Ph.D. or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.0145,"I don't know","This person is short","A light jacket","Positive charge","TRUE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","Not sure","FALSE"
"98","3/28/2013 7:53:09","Female","23-30","Bachelor Degree in Arts or equivalent","United States","Wrong","No","6 million and 5 years old","1000 x",1.45,"I don't know","This person is short","A light jacket","Neutron","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","TRUE","TRUE","TRUE"
"99","3/28/2013 8:05:44","Female","18-22","High School or equivalent","Ghana","TRUE","I don't know.","I don't know","1000 x",0.145,"I don't know","I don't know","I don't know","Positive charge","I do not know.","I do not know. ","TRUE","TRUE","I do no know. ","TRUE","No","Neutral","TRUE","Not sure"
"100","3/28/2013 8:09:49","Female","23-30","Ph.D. or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","Yes","FALSE","TRUE","TRUE"
"101","3/28/2013 8:09:51","Female","18-22","Bachelor Degree in Science or equivalent","United States","TRUE","I don't know.","6 million and 5 years old","1000 x",0.145,"I don't know","I don't know","A light jacket","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","Not sure"
"102","3/28/2013 8:12:38","Male","51-55","Ph.D. or equivalent","United States","Wrong","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","I do not know","FALSE","TRUE","TRUE"
"103","3/28/2013 8:28:19","Female","18-22","Bachelor Degree in Science or equivalent","Guyana","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","Yes","FALSE","Not sure","Not sure"
"104","3/28/2013 9:07:03","Male","56-60","Ph.D. or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",NA,"Dis-agree","This person is tall","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","FALSE"
"105","3/28/2013 9:07:04","Female","41-50","Master Degree or equivalent","United States","TRUE","I don't know.","6 million and 5 years old","1000 x",0.145,"I don't know","This person is short","A Short sleeve shirt","Neutron","TRUE","FALSE","TRUE","FALSE","True ","TRUE","Yes","FALSE","TRUE","FALSE"
"106","3/28/2013 9:11:46","Female","More than 60 years old","Ph.D. or equivalent","United States","Wrong","No","6 million and 5 years old","100 x",0.0145,"I don't know",NA,"I don't know","Neutron","TRUE","FALSE","TRUE","TRUE","True ","TRUE","Yes","FALSE","TRUE","FALSE"
"107","3/28/2013 9:46:50","Female","18-22","Bachelor Degree in Science or equivalent","United States","TRUE","Yes","I don't know","1000 x",0.145,"I don't know","I don't know","A winter coat","Positive charge","FALSE","I do not know. ","TRUE","FALSE","True ","TRUE","I do not know","FALSE","TRUE","FALSE"
"108","3/28/2013 9:49:48","Female","18-22","Bachelor Degree in Science or equivalent","United States","TRUE","I don't know.","6 million and 5 years old","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","TRUE","I do not know. ","TRUE","TRUE","True ","TRUE","No","FALSE","TRUE","TRUE"
"109","3/28/2013 9:52:41","Female","18-22","Bachelor Degree in Science or equivalent","United States","Wrong","Yes","Still about 6 million years old.","1000 x",0.145,"Agree","This person is tall","A Short sleeve shirt","Positive charge","TRUE","FALSE","TRUE","FALSE","True ","TRUE","Yes","FALSE","TRUE","Not sure"
"110","3/28/2013 9:55:38","Female","41-50","Master Degree or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",1.45,"Dis-agree","This person is tall","A Short sleeve shirt","Negative charge","FALSE","FALSE","TRUE","FALSE","I do no know. ","TRUE","No","FALSE","TRUE","TRUE"
"111","3/28/2013 11:29:07","Male","More than 60 years old","Ph.D. or equivalent","United States","Wrong","Yes","6 million and 5 years old","100 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Negative charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","Not sure","TRUE"
"112","3/28/2013 11:44:43","Male","56-60","Ph.D. or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","Not sure","Not sure"
"113","3/28/2013 11:54:38","Male","51-55","Ph.D. or equivalent","United States","Wrong","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","I do not know","FALSE","TRUE","TRUE"
"114","3/28/2013 12:25:10","Female","18-22","Ph.D. or equivalent","Senegal","TRUE","Yes","6 million and 5 years old","1000 x",0.145,"I don't know","I don't know","A Short sleeve shirt","Negative charge","FALSE","FALSE","TRUE","TRUE","True ","TRUE","No","FALSE","TRUE","FALSE"
"115","3/28/2013 13:14:43","Male","18-22","Bachelor Degree in Arts or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","TRUE","TRUE","TRUE"
"116","3/28/2013 14:05:34","Male","41-50","Master Degree or equivalent","United Kingdom","TRUE","Yes","6 million and 5 years old","1000 x",0.145,"Dis-agree","This person is short","A winter coat","Positive charge","I do not know.","I do not know. ","TRUE","FALSE","FALSE","TRUE","No","Neutral","TRUE","TRUE"
"117","3/28/2013 14:18:56","Female","23-30","Ph.D. or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","TRUE"
"118","3/28/2013 17:24:58","Female","18-22","Bachelor Degree in Arts or equivalent","United States","TRUE","No","Still about 6 million years old.","100 x",145000,"Agree","This person is short","A Short sleeve shirt","Electricity ","FALSE","TRUE","TRUE","TRUE","True ","TRUE","No","Maybe","FALSE","FALSE"
"119","3/28/2013 17:46:15","Male","51-55","Ph.D. or equivalent","United States","TRUE","Yes","6 million and 5 years old","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","TRUE"
"120","3/28/2013 23:28:48","Male","More than 60 years old","Master Degree or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","TRUE"
"121","3/28/2013 23:32:47","Male","41-50","Master Degree or equivalent","United States","TRUE","I don't know.","I don't know","1000 x",0.145,"Dis-agree","I don't know","I don't know","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","I do not know","FALSE","TRUE","Not sure"
