"","time","gender","age","degree","country","light","shaq","fossil","kilo","mm","food","inseam","weather","electronCharge","earlyHuman","laser","continents","antibiotics","electronSize","earthCenter","religiousView","dailyLife","SciOnLife","SciEffect"
"46","3/26/2013 14:19:07","Female","18-22","High School or equivalent","United States","TRUE","I don't know.","Still about 6 million years old.","100 x",1.45,"Agree","This person is short","A winter coat","Neutron","FALSE","FALSE","TRUE","I do not know.","FALSE","FALSE","No","Neutral","TRUE","TRUE"
"47","3/26/2013 14:22:21","Male","23-30","Bachelor Degree in Science or equivalent","United States","TRUE","I don't know.","Still about 6 million years old.","1000 x",1.45,"I don't know","This person is tall","A Short sleeve shirt","Positive charge","FALSE","TRUE","TRUE","FALSE","True ","TRUE","Yes","TRUE","TRUE","FALSE"
"48","3/26/2013 14:22:34","Male","23-30","Bachelor Degree in Arts or equivalent","United States","Wrong","Yes","Still about 6 million years old.","1000 x",1.45,"Agree","This person is tall","A winter coat","Positive charge","TRUE","FALSE","TRUE","FALSE","True ","TRUE","No","TRUE","TRUE","TRUE"
"49","3/26/2013 14:22:44","Male","18-22","High School or equivalent","United States","Wrong","Yes","Still about 6 million years old.","1000 x",0.145,"I don't know","This person is tall","A Short sleeve shirt","Positive charge","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","No","FALSE","TRUE","TRUE"
"50","3/26/2013 14:23:16","Female","23-30","Bachelor Degree in Science or equivalent","Bahamas","Wrong","Yes","Still about 6 million years old.","1000 x",1.45,"Dis-agree","This person is tall","A winter coat","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","Yes","Neutral","TRUE","FALSE"
"51","3/26/2013 14:25:20","Male","23-30","Bachelor Degree in Arts or equivalent","United States","TRUE","No","Still about 6 million years old.","1000 x",1.45,"Agree","This person is tall","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","Yes","FALSE","TRUE","FALSE"
"52","3/26/2013 14:25:56","Male","23-30","High School or equivalent","Trinidad & Tobago","TRUE","No","Still about 6 million years old.","1000 x",1.45,"I don't know","This person is tall","A Short sleeve shirt","Positive charge","I do not know.","FALSE","TRUE","FALSE","True ","TRUE","Yes","FALSE","TRUE","TRUE"
"53","3/26/2013 14:26:39","Female","18-22","Bachelor Degree in Arts or equivalent","United States","Wrong","No","Still about 6 million years old.","1000 x",1.45,"Dis-agree","This person is tall","A Short sleeve shirt","Positive charge","TRUE","FALSE","TRUE","FALSE","True ","TRUE","Yes","TRUE","TRUE","TRUE"
"54","3/26/2013 14:28:30","Male","18-22","Bachelor Degree in Science or equivalent","United States","Wrong","Yes","Still about 6 million years old.","1000 x",0.0145,"Dis-agree","This person is tall","A winter coat","Positive charge","FALSE","TRUE","TRUE","FALSE","True ","TRUE","Yes","Maybe","TRUE","TRUE"
"55","3/26/2013 17:21:50","Female","31-40","Master Degree or equivalent","United States","TRUE","Yes","Still about 6 million years old.","1000 x",0.145,"Dis-agree","This person is short","A Short sleeve shirt","Positive charge","FALSE","FALSE","TRUE","FALSE","True ","TRUE","No","FALSE","TRUE","TRUE"
